benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-3000,German,0.499443,7176,14368
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-4,Ukrainian,0.435621,6259,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-4000,Ukrainian,0.48267,6935,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-5499,Ukrainian,0.473622,6805,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-16,Ukrainian,0.487263,7001,14368
xcomps,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-4000,Ukrainian,0.497703,7151,14368
xcomps,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-4000,Ukrainian,0.497912,7154,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-5000,Ukrainian,0.4652,6684,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-3000,Ukrainian,0.483018,6940,14368
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-8,Ukrainian,0.435621,6259,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-32,Ukrainian,0.48789,7010,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-5000,Ukrainian,0.467219,6713,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-6000,Ukrainian,0.464852,6679,14368
xcomps,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-5000,Ukrainian,0.496381,7132,14368
xcomps,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-5000,Ukrainian,0.496729,7137,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-4000,German,0.500626,7193,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-6000,Ukrainian,0.466732,6706,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-64,Ukrainian,0.488099,7013,14368
xcomps,BeetleLM/beetlelm_eng-nld_balanced,eng-nld,balanced,step-16,Ukrainian,0.445991,6408,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-6000,Ukrainian,0.473552,6804,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-6110,Ukrainian,0.487681,7007,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-4000,Ukrainian,0.481626,6920,14368
xcomps,BeetleLM/beetlelm_fas-nld_part_time,fas-nld,part_time,step-6000,Ukrainian,0.499443,7176,14368
xcomps,BeetleLM/beetlelm_fas-nld_simultaneous,fas-nld,simultaneous,step-6000,Ukrainian,0.499513,7177,14368
xcomps,BeetleLM/beetlelm_nld-bul_balanced,nld-bul,balanced,step-128,Ukrainian,0.487333,7002,14368
xcomps,BeetleLM/beetlelm_nld_mono,nld,mono,step-7000,Ukrainian,0.476197,6842,14368
xcomps,BeetleLM/beetlelm_eng_L1-deu_L2_simultaneous,eng_L1-deu_L2,simultaneous,step-5000,German,0.502297,7217,14368
xcomps,BeetleLM/beetlelm_nld_L1-eng_L2_balanced,nld_L1-eng_L2,balanced,step-7000,Ukrainian,0.479538,6890,14368
